User Input,Polarity,Extracted Concern,Category,Intensity
Every day I'm can't sleep well.,Negative,can't sleep well,Insomnia,8
Every day I'm confused about job prospects.,Negative,confused about job prospects,Career Confusion,6
Every day I'm constantly worried.,Negative,constantly worried,Anxiety,7
Every day I'm extremely stressed.,Negative,extremely stressed,Stress,8
Every day I'm feeling hopeful.,Positive,feeling hopeful,Positive Outlook,7
Every day I'm feeling much better.,Positive,feeling much better,Positive Outlook,6
Every day I'm feeling very anxious.,Negative,feeling very anxious,Anxiety,7
Every day I'm feeling very low.,Negative,feeling very low,Depression,8
Every day I'm happy and excited.,Positive,happy and excited,Positive Outlook,7
Every day I'm not eating properly.,Negative,not eating properly,Eating Disorder,6
Every day I'm worried about health.,Negative,worried about health,Health Anxiety,7
"For a while now, I've been can't sleep well.",Negative,can't sleep well,Insomnia,6
"For a while now, I've been confused about job prospects.",Negative,confused about job prospects,Career Confusion,5
"For a while now, I've been constantly worried.",Negative,constantly worried,Anxiety,6
"For a while now, I've been extremely stressed.",Negative,extremely stressed,Stress,6
"For a while now, I've been feeling hopeful.",Positive,feeling hopeful,Positive Outlook,5
"For a while now, I've been feeling much better.",Positive,feeling much better,Positive Outlook,6
"For a while now, I've been feeling very anxious.",Negative,feeling very anxious,Anxiety,6
"For a while now, I've been feeling very low.",Negative,feeling very low,Depression,7
"For a while now, I've been happy and excited.",Positive,happy and excited,Positive Outlook,6
"For a while now, I've been not eating properly.",Negative,not eating properly,Eating Disorder,6
"For a while now, I've been worried about health.",Negative,worried about health,Health Anxiety,6
"Honestly, I'm can't sleep well.",Negative,can't sleep well,Insomnia,7
"Honestly, I'm confused about job prospects.",Negative,confused about job prospects,Career Confusion,7
"Honestly, I'm constantly worried.",Negative,constantly worried,Anxiety,7
"Honestly, I'm extremely stressed.",Negative,extremely stressed,Stress,7
"Honestly, I'm feeling hopeful.",Positive,feeling hopeful,Positive Outlook,6
"Honestly, I'm feeling much better.",Positive,feeling much better,Positive Outlook,6
"Honestly, I'm feeling very anxious.",Negative,feeling very anxious,Anxiety,8
"Honestly, I'm feeling very low.",Negative,feeling very low,Depression,8
"Honestly, I'm happy and excited.",Positive,happy and excited,Positive Outlook,7
"Honestly, I'm not eating properly.",Negative,not eating properly,Eating Disorder,7
"Honestly, I'm worried about health.",Negative,worried about health,Health Anxiety,7
I am can't sleep well these days.,Negative,can't sleep well,Insomnia,6
"I am can't sleep well, and it's affecting me.",Negative,can't sleep well,Insomnia,8
I am confused about job prospects these days.,Negative,confused about job prospects,Career Confusion,6
"I am confused about job prospects, and it's affecting me.",Negative,confused about job prospects,Career Confusion,8
I am constantly worried these days.,Negative,constantly worried,Anxiety,6
"I am constantly worried, and it's affecting me.",Negative,constantly worried,Anxiety,8
I am extremely stressed these days.,Negative,extremely stressed,Stress,6
"I am extremely stressed, and it's affecting me.",Negative,extremely stressed,Stress,8
I am feeling hopeful these days.,Positive,feeling hopeful,Positive Outlook,6
"I am feeling hopeful, and it's affecting me.",Positive,feeling hopeful,Positive Outlook,7
I am feeling much better these days.,Positive,feeling much better,Positive Outlook,6
"I am feeling much better, and it's affecting me.",Positive,feeling much better,Positive Outlook,7
I am feeling very anxious these days.,Negative,feeling very anxious,Anxiety,7
"I am feeling very anxious, and it's affecting me.",Negative,feeling very anxious,Anxiety,8
I am feeling very low these days.,Negative,feeling very low,Depression,7
"I am feeling very low, and it's affecting me.",Negative,feeling very low,Depression,8
I am happy and excited these days.,Positive,happy and excited,Positive Outlook,7
"I am happy and excited, and it's affecting me.",Positive,happy and excited,Positive Outlook,8
I am not eating properly these days.,Negative,not eating properly,Eating Disorder,6
"I am not eating properly, and it's affecting me.",Negative,not eating properly,Eating Disorder,8
I am worried about health these days.,Negative,worried about health,Health Anxiety,6
"I am worried about health, and it's affecting me.",Negative,worried about health,Health Anxiety,8
